ages,list_price,num_reviews,piece_count,play_star_rating,prod_desc,set_number,prod_long_desc,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country,piece_cost
12+,39.99,14.0,386.0,4.1,Experience the grandeur of the Arc de Triomphe!,21036.0,"Capture the architectural elegance of one of the world’s best-known monuments with this impressive LEGO® Architecture interpretation of the Arc de Triomphe. This detailed model faithfully reproduces Paris’ iconic masterpiece, with statue-adorned pillars, sculptural reliefs and subtle coloring that adds warmth while emphasizing the model’s bold lines, curves and contours. It also includes a golden plate to represent the Tomb of the Unknown Soldier, a LEGO interpretation of the eternal flame and a decorative “Arc de Triomphe” nameplate. This LEGO brick model has been designed to deliver a pleasantly challenging and rewarding building experience for all with an interest in architecture, travel, history and design, and makes a perfect display piece for the home or office.
Build a faithful reproductive of Paris’ iconic masterpiece!
Features statue-adorned pillars, sculptural reliefs and subtle coloring!
Includes a golden plate to represent the Tomb of the Unknown Soldier, a LEGO interpretation of the eternal flame and a decorative ‘Arc de Triomphe’ nameplate
Also includes booklet containing information about the design, architecture and history of the monument (French and English languages only. Other languages available for download at LEGO.com/architecture/booklet).
LEGO Architecture building toys are compatible with all LEGO construction sets for creative building
Measures over 4” high, 5” wide and 3” deep",Average,Arc de Triomphe,4.4,Architecture,3.6,US,0.10360103626943006
12+,34.99,53.0,321.0,3.2,Build your own LEGO® interpretation of the iconic Eiffel Tower!,21019.0,"Presenting the LEGO® Architecture interpretation of one of the most iconic landmarks ever constructed – The Eiffel Tower! Designed and built by French entrepreneur, Gustave Eiffel, the original 324-meter-tall masterpiece of wrought iron engineering formed the grand entrance to the 1889 World’s Fair, held in Paris to celebrate the 100th anniversary of the French Revolution. During construction, the 18,038 wrought iron elements making up the tower’s lattice structure were bolted together at Eiffel’s factory on the outskirts of Paris, before being transported to the site, hoisted into place by steam-powered cranes operating from the elevator shafts, and assembled using no less than 2.5 million individual rivets. The resulting structure was extremely rigid and over the years has withstood storms, floods and everything else mother nature has thrown at it. Today, The Eiffel Tower is one of the world’s most popular landmarks, attracting millions of curious visitors from around the world each year. With this exceptional model, you can now build your very own 321-piece Eiffel Tower in LEGO brick form and display it in your home, office or wherever you like!
Build a detailed model of the Eiffel Tower in Paris, France!
Includes collectible booklet containing information about the design, architecture and history of the building
LEGO Architecture building toys are compatible with all LEGO construction sets for creative building
The Eiffel Tower measures 12 inches high, 4 inches wide, and 4 inches deep
321 pieces – For boys and girls over the age of 12 years old",Average,The Eiffel Tower,4.6,Architecture,4.4,US,0.10900311526479751
12+,29.99,7.0,361.0,4.2,Celebrate Sydney with this LEGO® Architecture Skyline model!,21032.0,"Capture the architectural essence and splendor of Sydney with this magnificent set that brings together the iconic Sydney Opera House™, Sydney Harbour Bridge, Sydney Tower and Deutsche Bank Place, in an inspirational skyline setting. Each individual LEGO® structure provides a unique and rewarding building experience with true-to-life color and relative scale depiction. Sydney's sparkling harbor is represented in the tiled baseplate, adding an extra dimension and feel of authenticity to this detailed recreation of one of the world's most glamorous cities.
Build a detailed model of the Sydney skyline!
Includes the Sydney Opera House™, Sydney Harbour Bridge, Sydney Tower and Deutsche Bank Place
Includes collectible booklet containing information about the design, architecture and history of the building
LEGO Architecture building toys are compatible with all LEGO construction sets for creative building
The skyline is over 8” high, 9” wide and 2” deep
361 pieces – For boys and girls over 12 years old",Easy,Sydney,4.6,Architecture,4.2,US,0.0830747922437673
7-12,159.99,63.0,847.0,3.8,Bring your LEGO® creations to life!,17101.0,"Take your LEGO® play to the next level with the amazing LEGO BOOST Creative Toolbox. Build and code interactive, motorized robots, models and creations with distance, color and tilt sensor technologies.
Includes over 840 LEGO® pieces, plus a LEGO Move Hub, Interactive Motor and a Color & Distance Sensor.
Move Hub features Bluetooth Low Energy (BLE) connectivity, 2 encoded motors, activation button, internal tilt sensor and a light.
Interactive Motor is an encoded motor.
Color & Distance Sensor detects distance, motion and color, and can also function as a light.
Check out the cool white, orange and blue color scheme.
Rotate Vernie’s head to activate its shoulder-mounted spring-loaded shooter.
Build the M.T.R.4 (Multi-Tooled Rover 4) and try out the different tool and customization attachments to prepare the vehicle for an array of exciting activities.
Learn how to play a song and rock out with the Guitar4000.
Look after your own pet with Frankie the Cat. Be sure to feed it the right food—or it might get upset!
Construct, code and operate the AutoBuilder to produce real miniature LEGO® models.
Build and code robots and models, and complete exciting activities with the playmat and intuitive LEGO® BOOST app, available for selected iOS, Android and Kindle smart devices.
Easy-to-use intuitive software with icon-based drag-and-drop coding interface.
Building instructions for all 5 models are included with the free LEGO® BOOST app.
This product requires batteries (not included). Please refer to the product packaging for type and quantity.
Vernie the robot stands over 10” (27cm) tall.
M.T.R.4 (Multi-Tooled Rover 4) measures over 4” (12cm) high, 9” (23cm) long and 5” (14cm) wide.
Guitar4000 measures over 1” (5cm) high, 16” (42cm) long and 5” (15cm) wide.
Frankie the Cat stands over 6” (17cm) tall.
The AutoBuilder measures over 10” (27cm) high, 7” (19cm) long and 6” (16cm) wide.
Go to LEGO.com/devicecheck for a list of compatible devices. Ask your parents’ permission.",Average,BOOST Creative Toolbox,3.4,BOOST,3.5,US,0.18889020070838253
10+,29.99,13.0,708.0,4.7,Build a LEGO® BrickHeadz version of yourself!,41597.0,"Fuel your creativity by making a LEGO® BrickHeadz version of yourself, friends and family or colleagues with this fun set. Create two BrickHeadz construction characters using the specially selected LEGO bricks for different hairstyles and skin color, plus there are two kinds of glasses, a sticker sheet to personalize your builds, and a brick separator. Display your creations on the buildable baseplates in your home, office or anywhere you like.
Create 2 unique LEGO® BrickHeadz construction characters with LEGO bricks.
Also includes a sticker sheet to add different details.
Comes with 2 buildable baseplates.
Have fun building your own LEGO® BrickHeadz characters, then share a selfie with your friends, family or colleagues.
Mash up your own LEGO® BrickHeadz persona with other famous BrickHeadz characters, to create a super-cool hybrid version of yourself.
These construction characters are suitable for ages 10+.
Baseplates measures over 1” (4cm) square.",Average,Go Brick Me,4.8,BrickHeadz,4.8,US,0.04235875706214689
10+,19.99,1.0,234.0,3.0,Train a raptor with LEGO® BrickHeadz™ Owen and Blue!,41614.0,"These LEGO® BrickHeadz™ 41614 Owen & Blue construction characters are fun to build using colorful LEGO bricks that recreate all their iconic details from the blockbuster Jurassic World: Fallen Kingdom movie, including a dino trainer, Owen’s tranquilizer gun and velociraptor Blue's ferocious white teeth. Each character stands on a buildable collector's baseplate with BrickHeadz logo for easy display in your home, office or anywhere you like.
Buildable LEGO® BrickHeadz™ construction characters featuring Owen and Blue have BrickHeadz eyes and authentic details from the blockbuster Jurassic World: Fallen Kingdom movie, including Owen’s tranquilizer gun and velociraptor Blue’s white teeth.
Each LEGO® BrickHeadz™ construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz™ collection with other classic characters from your favorite movies, TV series, games and comics.
Each stands over 2” (7cm) tall without baseplate.
Baseplates measure over 1” (4cm) square.",Easy,Owen & Blue,5.0,BrickHeadz,5.0,US,0.08542735042735042
10+,19.99,1.0,160.0,5.0,Join Mr. Incredible and Frozone for LEGO® BrickHeadz™ crime-fighting fun!,41613.0,"These LEGO® BrickHeadz™ 41613 Mr. Incredible & Frozone construction characters are fun to build using colorful LEGO bricks that recreate all their iconic details from Disney•Pixar’s blockbuster Incredibles 2 movie. Each character stands on a buildable collector's baseplate with BrickHeadz logo for easy display in your home, office or anywhere you like.
Buildable LEGO® BrickHeadz™ construction characters featuring Disney
Pixar’s Mr. Incredible and Frozone have BrickHeadz eyes and iconic super hero costumes from the blockbuster Incredibles 2 movie.
Each LEGO® BrickHeadz™ construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz™ collection with other classic characters from your favorite movies, TV series, games and comics.
Mash up your LEGO® BrickHeadz™ construction characters to create supercool hybrids or your own amazing characters.
Each character stands over 2” (7cm) tall without baseplate.
Baseplates measure over 1” (4cm) square.",Very Easy,Mr. Incredible & Frozone,5.0,BrickHeadz,5.0,US,0.12493749999999999
10+,9.99,1.0,149.0,2.0,Growl like a Wookiee with a LEGO® BrickHeadz™ construction character featuring Chewbacca!,41609.0,"This LEGO® BrickHeadz™ 41609 Chewbacca is fun to build using colorful LEGO bricks that recreate all of his iconic details from the Star Wars saga, including matted fur and ammunition belt. He also has a detachable blaster and stands on a buildable collector's baseplate with BrickHeadz logo for easy display in your home, office or anywhere you like.
Buildable LEGO® BrickHeadz™ construction character featuring Chewbacca has authentic details from the Star Wars saga, including matted fur, ammunition belt and a detachable blaster.
Each LEGO® BrickHeadz™ construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz™ collection with other characters from the Star Wars saga, and many more from your favorite TV series, games and comics.
Chewbacca toy stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square.",Very Easy,Chewbacca™,3.0,BrickHeadz,4.0,US,0.06704697986577181
10+,9.99,1.0,141.0,2.0,Be a rogue with a LEGO® BrickHeadz™ construction character featuring Han Solo!,41608.0,"This LEGO® BrickHeadz™ 41608 Han Solo is fun to build using colorful LEGO bricks that recreate all of his iconic details from the Star Wars saga, including a brown jacket and utility belt. He also has a detachable blaster and stands on a buildable collector's baseplate with BrickHeadz logo for easy display in your home, office or anywhere you like.
Buildable LEGO® BrickHeadz™ construction character featuring Han Solo has authentic details from the Star Wars saga, including an iconic brown jacket, utility belt and a detachable blaster.
Each LEGO® BrickHeadz™ construction character comes with its own buildable collector's baseplate featuring the BrickHeadz logo.
Have fun growing your LEGO® BrickHeadz™ collection with other characters from the Star Wars saga, and many more from your favorite TV series, games and comics.
Han Solo model stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square.",Very Easy,Han Solo™,4.0,BrickHeadz,4.0,US,0.07085106382978723
10+,9.99,3.0,101.0,4.0,Save the universe with LEGO® BrickHeadz Iron Man MK50!,41604.0,"This Iron Man MK50 LEGO® BrickHeadz construction character is fun to build using colorful LEGO bricks that recreate all of his iconic details from the blockbuster Avengers: Infinity War movie, including his electromechanic armor suit. He also has thrusters for a speedy getaway and stands on a buildable collector's baseplate for easy display in your home, office or anywhere you like.
Buildable Iron Man MK50 LEGO® BrickHeadz construction character features BrickHeadz eyes and authentic details from the blockbuster Avengers: Infinity War movie, including thrusters and iconic armor and mask.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz collection with other super heroes from the blockbuster Avengers: Infinity War movie, and many more from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create super-cool hybrids or your own amazing characters.
This construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square.",Average,Iron Man MK50,4.7,BrickHeadz,4.5,US,0.09891089108910892
10+,9.99,2.0,105.0,3.0,Feel the power of Infinity with LEGO® BrickHeadz Thanos!,41605.0,"This Thanos LEGO® BrickHeadz construction character is fun to build using colorful LEGO bricks that recreate all of his iconic details from the blockbuster Avengers: Infinity War movie, including purple skin, chest armor and Infinity Gauntlet with Infinity gem decorations. He also stands on a buildable collector's baseplate for easy display in your home, office or anywhere you like.
Buildable Thanos LEGO® BrickHeadz construction character features BrickHeadz eyes and authentic details from the blockbuster Avengers Infinity War movie, including purple skin, chest armor and Infinity Gauntlet with Infinity gem decorations.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz collection with other super heroes from the blockbuster Avengers: Infinity War movie, and many more from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create super-cool hybrids or your own amazing characters.
This construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square.",Easy,Thanos,5.0,BrickHeadz,5.0,US,0.09514285714285714
10+,9.99,1.0,113.0,5.0,Be a legendary outlaw with LEGO® BrickHeadz Star-Lord!,41606.0,"This Star-Lord LEGO® BrickHeadz construction character is fun to build using colorful LEGO bricks that recreate all of his iconic details from the blockbuster Avengers: Infinity War movie, including golden hair, battle helmet, red eyes and boot rockets. He also has dual detachable blasters and stands on a buildable collector's baseplate for easy display in your home, office or any galaxy you like.
Buildable Star-Lord LEGO® BrickHeadz construction character features authentic details from the blockbuster Avengers: Infinity War movie, including golden hair, battle helmet, red eyes and boot rockets, plus dual detachable blasters.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz collection with other super heroes from the blockbuster Avengers: Infinity War movie, and many more from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create super-cool hybrids or your own amazing characters.
This construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square.",Easy,Star-Lord,5.0,BrickHeadz,5.0,US,0.0884070796460177
10+,9.99,2.0,91.0,3.0,Join the Resistance with a LEGO® BrickHeadz construction character featuring Finn!,41485.0,"This LEGO® BrickHeadz construction character featuring Finn is fun to build using LEGO bricks that recreate all of his iconic details from the blockbuster Star Wars: The Force Awakens movie, including First Order Stormtrooper armor and utility belt. He also has a detachable blaster pistol and stands on a buildable collector’s baseplate with BrickHeadz icon for easy display in your home, office or anywhere you like.
Buildable LEGO® BrickHeadz construction character featuring Finn has BrickHeadz eyes and authentic details from the blockbuster Star Wars: The Force Awakens movie, including iconic white First Order Stormtrooper armor, utility belt and a detachable blaster pistol.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz collection with other characters from the Star Wars saga, and many more from your favorite Star Wars films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create supercool hybrids or your own amazing characters.
This fun construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square and under 1” (1cm) high.",Easy,Finn,4.5,BrickHeadz,4.0,US,0.10978021978021978
10+,9.99,7.0,140.0,3.2,Say “I love you” with a LEGO® BrickHeadz™ Valentine's Bee!,40270.0,"Build your way to someone’s heart and say “Bee my Valentine’s honey” with this cute LEGO® BrickHeadz™ construction character. Check out its cute pink cheeks, movable wings, detachable heart decoration, pot of honey, and roses and sunflowers. It also comes with a buildable collector's baseplate with a seasonal calendar and BrickHeadz logo for your loved one to display in their home, office or anywhere they like.
Buildable LEGO® BrickHeadz™ Valentine's Bee construction character features decorated eyes, movable wings, detachable heart decoration and a pot of honey.
Also includes buildable roses and sunflowers.
Each LEGO® BrickHeadz™ construction character comes with its own buildable collector's baseplate featuring a seasonal calendar and BrickHeadz logo.
Have fun growing your LEGO® BrickHeadz™ collection with other characters from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz™ construction characters to create supercool hybrids or your own amazing characters.
Stands over 3” (9cm) tall without baseplate.
Baseplate measures over 4” (12cm) wide and 1” (5cm) deep.",Easy,Valentine's Bee,4.9,BrickHeadz,4.7,US,0.07135714285714286
10+,9.99,5.0,143.0,4.6,Stand tall with LEGO® BrickHeadz Wonder Woman™!,41599.0,"This Wonder Woman™ LEGO® BrickHeadz construction character is fun to build using colorful LEGO bricks that recreate all of her iconic details, including flowing black hair, headdress and gauntlets. She also has a detachable sword and shield in her hands, and stands on a buildable collector's baseplate with BrickHeadz icon for easy display. Add some Amazonian Warrior power to your home, office or anywhere you like.
Buildable Wonder Woman™ LEGO® BrickHeadz construction character features authentic details from the blockbuster Justice League movie, including BrickHeadz eyes, headdress and gauntlets, plus a detachable sword and shield.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate featuring the BrickHeadz icon.
Have fun growing your LEGO® BrickHeadz collection with other super heroes from the blockbuster Justice League movie, and many more from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create supercool hybrids or your own amazing characters.
This popular construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square and under 1” (1cm) high.",Easy,Wonder Woman™,5.0,BrickHeadz,5.0,US,0.06986013986013986
10+,9.99,3.0,122.0,2.7,Live life in the fast lane with LEGO® BrickHeadz The Flash™!,41598.0,"The Flash™ LEGO® BrickHeadz construction character is fun to build using colorful LEGO bricks that recreate all of his iconic details, including buildable golden ear wings and lightning chest logo. He also stands on a buildable collector’s baseplate with BrickHeadz icon for easy display in your home, office or anywhere you like.
Buildable The Flash™ LEGO® BrickHeadz construction character features authentic details from the blockbuster Justice League movie, including BrickHeadz eyes, buildable golden ear wings and a lightning chest logo.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate featuring the BrickHeadz icon.
Have fun growing your LEGO® BrickHeadz collection with other super heroes from the blockbuster Justice League movie, and many more from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create supercool hybrids or your own amazing characters.
This cool construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square and under 1” (1cm) high.",Very Easy,The Flash™,4.0,BrickHeadz,3.0,US,0.08188524590163934
